product_name,Rate,Review,Summary
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Classy product,Super sound and quality
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",4,Good quality product,Very nice product
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Did not meet expectations,Heavy heet and West of money
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Classy product,Good for small room..
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Unsatisfactory,Product quality of the sound is very poor..I was purchased the product blindly without seeing any reviews as there were no reviews at the time of I purchased and it was newly launched but I was purchased it based on Brand value of BOAT but I was totally disappointed after hear the sound..1. Bass is very poor2. Sound is not constant from sub woofers in-between sound is disconnecting from sub speakers and bass from main woofer.3.Build quality is Ok.As per Mine it is not recommended
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Very poor,Automatically off on 20-30 minutes....I blindly bought this product.... irritating... don't buy...
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Worthless,Bad quality bad items Every 10m automatically off waste of money
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Absolute rubbish!,The quality of the product is very poor. Very disappointed with flipkart that it is cheating customers with low quality products and no return policy.--------------Got the Replacement for the Product. But even that has some issues. having a Creaky sound.Really not happy with the Quality of the Products.And the Customer Support is really worst. The Call got disconnected 5 Times. Everytime i need to go through all steps to connect with Customer Support. Finally after explaining my problem ...
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Utterly Disappointed,Worst Sound Effect.. Don't buy and it won't satisfy your expectation.
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Fabulous!,Awesome product
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",4,Good choice,Nice product with ranje
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",3,Fair,This music is good for single room and quality of music is just ok and can buy for the home listening only not for party?›????s
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Worst experience ever!,"While playing music on bluetooth ,it stucks"
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Unsatisfactory,Not worth it.....add more money and purchase a good one....I bought just bz of brand boat....but not satisfied
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",2,Could be way better,Very basic sound quality. Not at all premium feel. Add some more money and go for better brands
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Worst experience ever!,It's not a balanced audio system. Very cheap audio quality it's the range of 1000 to 1500 rs only. Don't go for it .west of money. The sound quality is very very bad you can't understand the vocal.
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Must buy!,Nice product.Bass is very Hard
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Must buy!,Great experience ?ø??????
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Very poor,Sound and bass is very low
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Highly recommended,Fantastic sounds and bass unbelievable...boat is the greatest sounds combination... Thanks flipcart and boat
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Excellent,Value for money Good product
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Useless product,Bluetooth connection not good very bad ?ø?????­?ø?????­?ø?????­
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Terrible product,"This product's sound quality is very bad as my expectation. Please?ø????? don't buy this. After that I can't return this product, it is only acceptable for replacement."
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Horrible,Remote not proper working
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Classy product,Best product but sound quality not bad not good
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",2,Not good,In the description there written play with sd card....There is no sd card slotNot satisfied with this product.
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Terrific purchase,Very valuable price.Very good product.
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Awesome,Very nice product..?ø??????
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",4,Worth the money,"So happy, best sond quality, build quality, thank you Flipkart, worth buying this product"
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",4,Nice product,Supur  Nice
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Highly recommended,Nice product ?ø???????ø??????ø??????ø?????
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Must buy!,Nice hame threeater
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Worth every penny,I was confused before purchasing after viewing all reviews as well as someone mentioned that bass quality is not good......but after purchasing I am very much satisfied after playing
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Simply awesome,?ø??????Sound good?ø????? Bass owsam
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",4,Delightful,Value for money
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Terrific,Fabulous product
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Simply awesome,Adipolii?›????????loved it
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Absolute rubbish!,"This product is good, but long time music playSometimes problems not clear sound, another sound is coming"
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Terrible product,"Worst quality i ever bought, completely not satisfied on this product sound quality is very low connected with different devices still same. I WANT REPLACEMENT."
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Wonderful,Super se upper ?ø??????
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Excellent,Product quality is best quality ever
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Just wow!,This is very good product for this price range
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",4,Value-for-money,Value for money and Flipkart deliver it to me before expected date and this impress me ?ø???????ø?????
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Awesome,Good sound
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Just wow!,Very nice
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Worth every penny,Good Value For money This Product
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Classy product,Good
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Brilliant,Very amazing with best price
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Terrific purchase,Nice value for money
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",3,Good,Jest wow
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Just wow!,very loud bass sound and its look amazing #Thankyou flipkart perfect timing delievery
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Simply awesome,Superb sound and bass in this price range.
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Must buy!,Wonderful base and music. I love it?›????›??? Thanku boat
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Terrific purchase,It's superb! I'm so happy with this product.
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",4,Worth the money,Sounds  is good
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Perfect product!,Superb performance super product super bass super quality
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Terrible product,Poor sound bad product
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Fabulous!,Very good product
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Brilliant,"Osm?ø??????ø??????ø??????ø??????ø??????ø??????ø?????,High bass ,clear sound,more than enough"
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Worth every penny,One word just awesome ?ø?????? bass is too ?ø????? sound quality also good ?ø?????
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Utterly Disappointed,I am use this product its vari good
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Terrific purchase,Super bass and sound ?ø?????? nice product
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Terrific,Very Good Products
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Horrible,No sound boffer no bass only sound in two speakers
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Mind-blowing purchase,Super tnxyou Flipkart Full kush happy
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Useless product,Please don't buy .Sound not good .Boat quality good but home theater bad ..Hate .Pls don't buy
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Simply awesome,Awesome sound quality  value for money good looking
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Terrific,"Best home theater, great sound quality and best bass.Good RGB light"
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",4,Very Good,Good
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Great product,Bass no
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Terrific purchase,Nice
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Classy product,V.   G.   Quality   sound clyr.   A1 ?ø??????
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",2,Moderate,Not given good sound
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",3,Decent product,Good
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Terrific purchase,Value for money....Good Brand.... Thank u for Boat?ø??????ø??????
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Terrible product,Worst
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",4,Very Good,Worth buying
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Worth every penny,##Thanks for Flipkart##?ø???????ø???????ø??????ø????? Very nice Product
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Perfect product!,Nice product
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",3,Fair,Product good but when I put the full sound it's cracky sound here. Either all is good.
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",4,Really Nice,Good performance sound and baas Nice ?ø?????
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Brilliant,Good product thanks Flipkart?ø???????ø????¯?ø??????ø?????¬?ø?????æ?ø??????
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",4,Good choice,Sound Is best'quality?ø???????ø????¯?ø???????ø????¯Bass is best quality
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",3,Does the job,Excellent product build quality
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Very poor,Damage product
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Worst experience ever!,"1. Sound breaks between volume 25 to 30.2. In EQ mode, only jazz will work good. Other EQ modes are not that good. Volume is too low if EQ mode is off. 3. Speaker will start catching heat if it is used for more than 1 hour."
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",4,Really Nice,Value for money. But when you play after 30 min and automatic going off and run on automatically.
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",2,Not good,"No bass at all, we could buy zebronics or any market piece for this price. A definite NO for this model, pls avoid this model and invest a little bit more"
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Terrible product,Bad sound quality
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Don't waste your money,Not good
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",3,Fair,Ok kani base ekuva ledhu
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",1,Don't waste your money,Don't buy waste of your money BOAT is very cheap quality PLEASE DON'T BUY
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Super!,Nice
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Classy product,Nice product good quality
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",4,Worth the money,Good product
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Terrific,Verry good
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",4,Good quality product,Awesome product...value for money
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Excellent,Good product Good quality
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",3,Just okay,Nice
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Classy product,Super design and sound is very good
"boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre???ÿ???ÿ(Premium Black, 2.1 Channel)",5,Mind-blowing purchase,Good product
